#SAMPLE,MEDIAN_INSERT_SIZE,MEDIAN_ABSOLUTE_DEVIATION,MEAN_INSERT_SIZE,STANDARD_DEVIATION
R1504202612_S10_L004_,167,45,185.107071,81.330115
R1504202613_S11_L004_,112,34,126.382162,65.461764
R1504202614_S12_L004_,228,98,272.140219,223.097667
R1506023208_S1_L004_,281,148,368.220988,368.944162
R1506023209_S2_L004_,329,201,490.233711,535.128538
R1506023210-S_S4_L004_,292,162,402.477871,415.091253
R1506023210_S3_L004_,296,165,408.659026,423.480294
R1506023211_S5_L004_,289,157,390.406847,398.570936
R1506023212_S6_L004_,276,144,361.906447,358.719068
R1506023213_S7_L004_,274,143,362.540989,358.630386
R1506023214-S_S9_L004_,245,120,306.775293,286.022012
R1506023214_S8_L004_,261,128,329.450674,308.365342
