"","x"
"1","eutC"
"2","lmo2352"
"3","lmo1187"
"4","lmo1177"
"5","lmo1186"
"6","eutB"
"7","rplT"
"8","lmo1185"
"9","lmo1179"
"10","lmo1178"
"11","eutA"
"12","inlB"
"13","lmo1182"
"14","lmo2522"
"15","lmo1181"
"16","lmo2564"
"17","lmo2251"
"18","lmo0388"
"19","lmo0685"
"20","opuCC"
"21","lmo0097"
"22","lmo0669"
"23","lmo2337"
"24","lmo0670"
"25","lmo2697"
"26","lmo0130"
"27","lmo2646"
"28","lmo2686"
"29","arpJ"
"30","lmo0681"
"31","lmo1412"
"32","lmo1381"
"33","cbiA"
"34","lmo0101"
"35","lmo0096"
"36","argG"
"37","lmo2187"
"38","rpmF"
"39","lmot15"
"40","lmo0700"
"41","lmo0612"
"42","lmo0726"
"43","lmo1391"
"44","lmo0683"
"45","lmo0687"
"46","lmo0689"
"47","lmo1861"
"48","rplN"
"49","lmo1634"
"50","lmot16"
"51","lmot22"
"52","lmo2433"
"53","argJ"
"54","lmo0075"
"55","lmot29"
